feature,importance_mean,importance_std
Fraction Genome Altered,0.05922097011268984,0.009449280723083984
log_MSIsensor,0.03953454189122976,0.004899507594046414
Diagnosis Age,0.034326310632043104,0.007684664327725224
log_TMB,0.025869671729544335,0.004061376860823332
Winter Hypoxia Score,0.02227829495345418,0.0072468619017665905
Ragnum Hypoxia Score,0.020930916217540407,0.010492032461549018
log_MutCount,0.018980891719745218,0.0024039016243283906
Aneuploidy Score,0.012038216560509513,0.0023703487348757882
Buffa Hypoxia Score,0.011852033317001454,0.006091905699589319
SexNum,0.006433121019108262,0.0017010080744778143
StageNum,0.00039686428221458734,0.0006316251860881469
